id,cage,date,body_weight,sex,strain
A-20429,CBB2353_Ef,12/30/2025,9.2,Female,A
A-20430,CBB2353_Ef,12/30/2025,9.5,Female,A
A-20437,CBB2353_Ef,12/30/2025,10.2,Female,A
A-20438,CBB2353_Ef,12/30/2025,10.4,Female,A
A-20439,CBB2353_Ef,12/30/2025,11.2,Female,A
A-20424,CBB2353_Em,12/30/2025,10.4,Male,A
A-20425,CBB2353_Em,12/30/2025,10.9,Male,A
A-20434,CBB2353_Em,12/30/2025,10.2,Male,A
A-20435,CBB2353_Em,12/30/2025,12.2,Male,A
A-20436,CBB2353_Em,12/30/2025,11.3,Male,A
A-20403,CBB2353_Mf_1,12/30/2025,11,Female,B
A-20409,CBB2353_Mf_1,12/30/2025,9.4,Female,B
A-20410,CBB2353_Mf_1,12/30/2025,9.7,Female,B
A-20401,CBB2353_Mm,12/30/2025,13.1,Male,B
A-20402,CBB2353_Mm,12/30/2025,14.4,Male,B
A-20404,CBB2353_Mm,12/30/2025,10.7,Male,B
A-20405,CBB2353_Mm,12/30/2025,10.6,Male,B
A-20406,CBB2353_Mm_2,12/30/2025,10.4,Male,B
A-20407,CBB2353_Mm_2,12/30/2025,10.1,Male,B
A-20408,CBB2353_Mm_2,12/30/2025,10.6,Male,B
A-20398,CBB2353_Sf,12/30/2025,16.8,Female,C
A-20399,CBB2353_Sf,12/30/2025,16.5,Female,C
A-20400,CBB2353_Sf,12/30/2025,16.2,Female,C
A-20443,CBB2353_Sf_2,12/30/2025,11.5,Female,C
A-20444,CBB2353_Sf_2,12/30/2025,11,Female,C
A-20445,CBB2353_Sf_2,12/30/2025,11.8,Female,C
A-20397,CBB2353_Sm,12/30/2025,18.6,Male,C
A-20440,CBB2353_Sm_2,12/30/2025,11.5,Male,C
A-20441,CBB2353_Sm_2,12/30/2025,12.3,Male,C
A-20442,CBB2353_Sm_2,12/30/2025,11.2,Male,C
A-20392,CBB2353_Tf,12/30/2025,15.9,Female,D
A-20393,CBB2353_Tf,12/30/2025,15.5,Female,D
A-20394,CBB2353_Tf,12/30/2025,17.5,Female,D
A-20395,CBB2353_Tf,12/30/2025,16.8,Female,D
A-20396,CBB2353_Tf,12/30/2025,15.8,Female,D
A-20390,CBB2353_Tm,12/30/2025,19.1,Male,D
A-20391,CBB2353_Tm,12/30/2025,18.1,Male,D
A-20411,CBB2353_Tm_2,12/30/2025,13.2,Male,D
A-20412,CBB2353_Tm_2,12/30/2025,12.5,Male,D
A-20419,CBB2353_Tm_2,12/30/2025,13.9,Male,D
A-20420,CBB2353_Tm_2,12/30/2025,13.2,Male,D
A-20439,CBB2353_Ef,1/6/2026,13.4,Female,A
A-20438,CBB2353_Ef,1/6/2026,12.5,Female,A
A-20437,CBB2353_Ef,1/6/2026,12.2,Female,A
A-20430,CBB2353_Ef,1/6/2026,12.2,Female,A
A-20429,CBB2353_Ef,1/6/2026,11.2,Female,A
A-20435,CBB2353_Em,1/6/2026,15.7,Male,A
A-20424,CBB2353_Em,1/6/2026,13.7,Male,A
A-20425,CBB2353_Em,1/6/2026,14.1,Male,A
A-20434,CBB2353_Em,1/6/2026,12,Male,A
A-20436,CBB2353_Em,1/6/2026,14.6,Male,A
A-20403,CBB2353_Mf_1,1/6/2026,13.3,Female,B
A-20409,CBB2353_Mf_1,1/6/2026,11.8,Female,B
A-20410,CBB2353_Mf_1,1/6/2026,12.6,Female,B
A-20401,CBB2353_Mm,1/6/2026,16.1,Male,B
A-20405,CBB2353_Mm,1/6/2026,14.3,Male,B
A-20402,CBB2353_Mm,1/6/2026,17.4,Male,B
A-20404,CBB2353_Mm,1/6/2026,14.3,Male,B
A-20408,CBB2353_Mm_2,1/6/2026,13.9,Male,B
A-20406,CBB2353_Mm_2,1/6/2026,13.3,Male,B
A-20407,CBB2353_Mm_2,1/6/2026,13.2,Male,B
A-20399,CBB2353_Sf,1/6/2026,18.9,Female,C
A-20400,CBB2353_Sf,1/6/2026,18.1,Female,C
A-20398,CBB2353_Sf,1/6/2026,18.8,Female,C
A-20444,CBB2353_Sf_2,1/6/2026,15.5,Female,C
A-20445,CBB2353_Sf_2,1/6/2026,16.6,Female,C
A-20443,CBB2353_Sf_2,1/6/2026,16.5,Female,C
A-20397,CBB2353_Sm,1/6/2026,20.9,Male,C
A-20442,CBB2353_Sm_2,1/6/2026,16.5,Male,C
A-20441,CBB2353_Sm_2,1/6/2026,18.2,Male,C
A-20440,CBB2353_Sm_2,1/6/2026,17.3,Male,C
A-20396,CBB2353_Tf,1/6/2026,16.8,Female,D
A-20392,CBB2353_Tf,1/6/2026,18.4,Female,D
A-20394,CBB2353_Tf,1/6/2026,18.7,Female,D
A-20395,CBB2353_Tf,1/6/2026,19.2,Female,D
A-20393,CBB2353_Tf,1/6/2026,17.2,Female,D
A-20391,CBB2353_Tm,1/6/2026,22.1,Male,D
A-20390,CBB2353_Tm,1/6/2026,22.2,Male,D
A-20420,CBB2353_Tm_2,1/6/2026,19.1,Male,D
A-20419,CBB2353_Tm_2,1/6/2026,19.8,Male,D
